,Author,ISBN,Previous Rank,Price,Rank,Title,Weeks on List,Category
547, Lee Child ,  9780399593598,1,9.99  ,1,No Middle Name ,5,Mass Market
548, John Grisham ,  9781101967683,2,9.99  ,2,The Whistler ,30,Mass Market
549, Michael Crichton ,  9780062473363,3,9.99  ,3,Dragon Teeth ,10,Mass Market
550, James Patterson ,  9781478944782,5,9.99  ,4,Never Never ,6,Mass Market
551, Doug Stanton ,  9781501179952,4,9.99  ,5,12 Strong ,6,Mass Market
552, Danielle Steel ,  9781101883938,9,8.99  ,6,Against All Odds ,2,Mass Market
553, Brian Kilmeade ,  9780143131830,,9.99  ,7,Thomas Jefferson and the Tripoli Pirates- Debut ,1,Mass Market
554, Liane Moriarty ,  9780451490049,7,9.99  ,8,The Husband's Secret ,29,Mass Market
555, Liane Moriarty ,  9780451490445,10,9.99  ,9,What Alice Forgot ,5,Mass Market
556, Steve Berry ,  9781250058461,8,9.99  ,10,The Lost Order ,4,Mass Market
557, Colson Whitehead ,  9780345804327,,16.95  ,1,The Underground Railroad ,1,Trade Paperback Fiction
558, Min Jin Lee ,  9781455563920,1,15.99  ,2,Pachinko ,12,Trade Paperback Fiction
559, Jessica Shattuck ,  9780062563675,2,16.99  ,3,The Women in the Castle ,5,Trade Paperback Fiction
560, Anthony Doerr ,  9781501173219,3,17.00  ,4,All the Light We Cannot See ,44,Trade Paperback Fiction
561, Margaret Atwood ,  9780525435006,6,15.95  ,5,The Handmaid's Tale ,41,Trade Paperback Fiction
562, Georgia Hunter ,  9780399563096,4,16.00  ,6,We Were the Lucky Ones ,5,Trade Paperback Fiction
563, Ruth Ware ,  9781501132957,5,16.00  ,7,The Woman in Cabin 10 ,43,Trade Paperback Fiction
564, Rupi Kaur ,  9781449486792,7,16.99  ,8,The Sun and Her Flowers ,18,Trade Paperback Fiction
565, Leeila Slimani ,  9780143132172,9,16.00  ,9,The Perfect Nanny ,3,Trade Paperback Fiction
566, Martha Hall Kelly ,  9781101883082,10,17.00  ,10,Lilac Girls ,49,Trade Paperback Fiction
567, Shari Lapena ,  9780735221109,12,16.00  ,11,The Couple Next Door ,36,Trade Paperback Fiction
568, Andre Aciman ,  9781250169440,13,17.00  ,12,Call Me by Your Name ,4,Trade Paperback Fiction
569, Rupi Kaur ,  9781449474256,11,14.99  ,13,Milk and Honey ,74,Trade Paperback Fiction
570, Peter Heller ,  9781101973486,15,16.00  ,14,Celine ,4,Trade Paperback Fiction
571, B.A. Paris ,  9781250132369,14,16.99  ,15,Behind Closed Doors ,30,Trade Paperback Fiction
572, Jen Sincero ,  9780762447695,1,16.00  ,1,You Are a Badass ,133,Trade Paperback Nonfiction
573, Peter Frankopan ,  9781101912379,3,20.00  ,2,The Silk Roads ,10,Trade Paperback Nonfiction
574, Doug Stanton ,  9781501178511,2,18.00  ,3,12 Strong ,6,Trade Paperback Nonfiction
575, Douglas J. Preston ,  9781455540013,4,15.99  ,4,The Lost City of the Monkey God ,21,Trade Paperback Nonfiction
576, Atul Gawande ,  9781250076229,5,16.00  ,5,Being Mortal ,22,Trade Paperback Nonfiction
577, Harvard Business School Press ,  9781633690196,8,24.95  ,6,HBR's 10 Must Reads on Emotional Intelligence ,75,Trade Paperback Nonfiction
578, Jonah Berger ,  9781476759739,6,16.00  ,7,Invisible Influence ,33,Trade Paperback Nonfiction
579, Harvard Business School Press ,  9781422157992,7,24.95  ,8,HBR's 10 Must Reads on Managing Yourself ,55,Trade Paperback Nonfiction
580, Michael Lewis ,  9780393354775,10,16.95  ,9,The Undoing Project ,14,Trade Paperback Nonfiction
581, Matthew Desmond ,  9780553447453,11,17.00  ,10,Evicted ,38,Trade Paperback Nonfiction
582, Timothy Snyder ,  9780804190114,12,7.99  ,11,On Tyranny ,47,Trade Paperback Nonfiction
583, Alexandra Horowitz ,  9781476796024,9,17.00  ,12,Being a Dog ,16,Trade Paperback Nonfiction
584, Simon Sinek ,  9781591848011,,17.00  ,13,Leaders Eat Last: Why Some Teams Pull Together and Others Don't ,1,Trade Paperback Nonfiction
585, Sheelah Kolhatkar ,  9780812985795,,18.00  ,14,"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street ",1,Trade Paperback Nonfiction
586, Simon Sinek ,  9781591846444,,16.00  ,15,Start With Why: How Great Leaders Inspire Everyone to Take Action ,1,Trade Paperback Nonfiction
587, Angie Thomas ,  9780062498533,,17.99  ,1,The Hate U Give ,,Young Adult
588, John Green ,  9780525555360,,19.99  ,2,Turtles All the Way Down ,,Young Adult
589, Melissa Albert ,  9781250147905,,16.99  ,3,The Hazel Wood ,,Young Adult
590, Philip Pullman ,  9780375815300,,22.99  ,4,The Book of Dust: La Belle Sauvage ,,Young Adult
591, Becky Albertalli ,  9780062792167,,10.99  ,5,Simon vs. the Homo Sapiens Agenda (Movie Tie-in Edition),,Young Adult
592, David Levithan ,  9780525581611,,10.99  ,6,Every Day ,,Young Adult
593, Ruta Sepetys ,  9780142423622,,10.99  ,7,Salt to the Sea ,,Young Adult
594, Holly Black ,  9780316310277,,18.99  ,8,The Cruel Prince ,,Young Adult
595, Markus Zusak ,  9780385754729,,12.99  ,9,The Book Thief ,,Young Adult
596, Marissa Meyer ,  9781250044662,,19.99  ,10,Renegades ,,Young Adult
597, Nicola Yoon ,  9781524769604,,10.99  ,11,"Everything, Everything ",,Young Adult
598, Nic Stone ,  9781101939499,,17.99  ,12,Dear Martin (An Indies Introduce Title) ,,Young Adult
599, Lois Lowry ,  9780544340688,,9.99  ,13,The Giver ,,Young Adult
600, Karen M. McManus ,  9781524714680,,17.99  ,14,One of Us Is Lying ,,Young Adult
601, John Green ,  9780142424179,,12.99  ,15,The Fault in Our Stars ,,Young Adult
602, Colson Whitehead ,  9780345804327,,16.95 ,1,The Underground Railroad ,,Trade Paperback Fiction
603, George Saunders ,  9780812985405,,17.00 ,2,Lincoln in the Bardo- Debut ,1,Trade Paperback Fiction
604, Min Jin Lee ,  9781455563920,,15.99 ,3,Pachinko ,,Trade Paperback Fiction
605, Jessica Shattuck ,  9780062563675,,16.99 ,4,The Women in the Castle ,,Trade Paperback Fiction
606, Ruth Ware ,  9781501132957,7,16.00 ,5,The Woman in Cabin 10 ,44,Trade Paperback Fiction
607, Georgia Hunter ,  9780399563096,,16.00 ,6,We Were the Lucky Ones ,,Trade Paperback Fiction
608, Fredrik Backman ,  9781501160776,,17.00 ,7,Beartown- Debut ,1,Trade Paperback Fiction
609, Anthony Doerr ,  9781501173219,4,17.00 ,8,All the Light We Cannot See ,45,Trade Paperback Fiction
610, Margaret Atwood ,  9780525435006,5,15.95 ,9,The Handmaid's Tale ,42,Trade Paperback Fiction
611, Ernest Cline ,  9780804190138,,16.00 ,10,Ready Player One ,1,Trade Paperback Fiction
612, Shari Lapena ,  9780735221109,11,16.00 ,11,The Couple Next Door ,37,Trade Paperback Fiction
613, Rupi Kaur ,  9781449486792,,16.99 ,12,The Sun and Her Flowers ,,Trade Paperback Fiction
614, Rupi Kaur ,  9781449474256,13,14.99 ,13,Milk and Honey ,75,Trade Paperback Fiction
615, Christina Baker Kline ,  9780062356277,,16.99 ,14,A Piece of the World ,1,Trade Paperback Fiction
616, Andre Aciman ,  9781250169440,,17.00 ,15,Call Me by Your Name ,,Trade Paperback Fiction
617, Jen Sincero ,  9780762447695,1,16.00 ,1,You Are a Badass ,134,Trade Paperback Nonfiction
618, Peter Frankopan ,  9781101912379,,20.00 ,2,The Silk Roads ,,Trade Paperback Nonfiction
619, Doug Stanton ,  9781501178511,,18.00 ,3,12 Strong ,,Trade Paperback Nonfiction
620, Jonah Berger ,  9781476759739,7,16.00 ,4,Invisible Influence ,34,Trade Paperback Nonfiction
621, Atul Gawande ,  9781250076229,,16.00 ,5,Being Mortal ,,Trade Paperback Nonfiction
622, Douglas J. Preston ,  9781455540013,,15.99 ,6,The Lost City of the Monkey God ,,Trade Paperback Nonfiction
623, Harvard Business School Press ,  9781633690196,6,24.95 ,7,HBR's 10 Must Reads on Emotional Intelligence ,76,Trade Paperback Nonfiction
624, Harvard Business School Press ,  9781422157992,8,24.95 ,8,HBR's 10 Must Reads on Managing Yourself ,56,Trade Paperback Nonfiction
625, Matthew Desmond ,  9780553447453,10,17.00 ,9,Evicted ,39,Trade Paperback Nonfiction
626, Michael Lewis ,  9780393354775,,16.95 ,10,The Undoing Project ,,Trade Paperback Nonfiction
627, Simon Sinek ,  9781591846444,15,16.00 ,11,Start With Why ,2,Trade Paperback Nonfiction
628, Simon Sinek ,  9781591848011,13,17.00 ,12,Leaders Eat Last ,2,Trade Paperback Nonfiction
629, Thich Nhat Hanh ,  9781937006884,,9.95 ,13,How to Love ,20,Trade Paperback Nonfiction
630, Sheelah Kolhatkar ,  9780812985795,14,18.00 ,14,Black Edge ,2,Trade Paperback Nonfiction
631, Alexandra Horowitz ,  9781476796024,,17.00 ,15,Being a Dog ,,Trade Paperback Nonfiction
632, Kristin Hannah ,  9780312577230,,28.99 ,1,The Great Alone ,1,Hardcover Fiction
633, Tayari Jones ,  9781616201340,,26.95 ,2,An American Marriage ,1,Hardcover Fiction
634, A.J. Finn ,  9780062678416,,26.99 ,3,The Woman in the Window ,,Hardcover Fiction
635, Amor Towles ,  9780670026197,3,27.00 ,4,A Gentleman in Moscow ,75,Hardcover Fiction
636, Chloe Benjamin ,  9780735213180,,26.00 ,5,The Immortalists ,,Hardcover Fiction
637, Celeste Ng ,  9780735224292,,27.00 ,6,Little Fires Everywhere ,,Hardcover Fiction
638, Jesmyn Ward ,  9781501126062,,26.00 ,7,"Sing, Unburied, Sing ",,Hardcover Fiction
639, Jojo Moyes ,  9780399562457,,27.00 ,8,Still Me ,,Hardcover Fiction
640, Dan Brown ,  9780385514231,,29.95 ,9,Origin ,,Hardcover Fiction
641, Greer Hendricks ,  9781250130921,,26.99 ,10,The Wife Between Us ,,Hardcover Fiction
642, Naomi Alderman ,  9780316547611,,26.00 ,11,The Power ,,Hardcover Fiction
643, John Grisham ,  9780385541176,13,28.95 ,12,The Rooster Bar ,16,Hardcover Fiction
644, Andy Weir ,  9780553448122,,27.00 ,13,Artemis ,,Hardcover Fiction
645, Jennifer Egan ,  9781476716732,,27.00 ,14,Manhattan Beach ,,Hardcover Fiction
646, Robert Harris ,  9780525520269,,27.95 ,15,Munich ,1,Hardcover Fiction
647, Michael Wolff ,  9781250158062,,30.00 ,1,Fire and Fury ,,Hardcover Nonfiction
648, Neil deGrasse Tyson ,  9780393609394,2,18.95 ,2,Astrophysics for People in a Hurry ,41,Hardcover Nonfiction
649, Mark Manson ,  9780062457714,3,24.99 ,3,The Subtle Art of Not Giving A F*ck ,45,Hardcover Nonfiction
650, Walter Isaacson ,  9781501139154,,35.00 ,4,Leonardo da Vinci ,,Hardcover Nonfiction
651, Tiffany Haddish ,  9781501181825,,26.00 ,5,The Last Black Unicorn ,,Hardcover Nonfiction
652, Dave Eggers ,  9781101947319,,28.95 ,6,The Monk of Mokha ,,Hardcover Nonfiction
653, David Grann ,  9780385534246,5,28.95 ,7,Killers of the Flower Moon ,32,Hardcover Nonfiction
654, Pete Souza ,  9780316512589,,50.00 ,8,Obama: An Intimate Portrait ,8,Hardcover Nonfiction
655, Ray Dalio ,  9781501124020,,30.00 ,9,Principles: Life and Work ,,Hardcover Nonfiction
656, Steven Levitsky ,  9781524762933,,26.00 ,10,How Democracies Die ,,Hardcover Nonfiction
657, J.D. Vance ,  9780062300546,10,27.99 ,11,Hillbilly Elegy ,76,Hardcover Nonfiction
658, Daniel H. Pink ,  9780735210622,,28.00 ,12,When: The Scientific Secrets of Perfect Timing ,,Hardcover Nonfiction
659, Steve Coll ,  9781594204586,,35.00 ,13,Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan ,1,Hardcover Nonfiction
660, The Dalai Lama ,  9780399185045,13,26.00 ,14,The Book of Joy ,47,Hardcover Nonfiction
661, Zadie Smith ,  9781594206252,,28.00 ,15,Feel Free: Essays ,1,Hardcover Nonfiction
662, Lee Child ,  9780399593598,,9.99 ,1,No Middle Name ,,Mass Market
663, Ernest Cline ,  9780804190145,,9.99 ,2,Ready Player One ,1,Mass Market
664, John Grisham ,  9781101967683,2,9.99 ,3,The Whistler ,31,Mass Market
665, James Patterson ,  9781478944782,,9.99 ,4,Never Never ,,Mass Market
666, Michael Crichton ,  9780062473363,,9.99 ,5,Dragon Teeth ,,Mass Market
667, Liane Moriarty ,  9780451490049,,9.99 ,6,The Husband's Secret ,,Mass Market
668, Danielle Steel ,  9781101883938,,8.99 ,7,Against All Odds ,,Mass Market
669, Brian Kilmeade ,  9780143131830,,9.99 ,8,Thomas Jefferson and the Tripoli Pirates ,,Mass Market
670, Liane Moriarty ,  9780451490445,,9.99 ,9,What Alice Forgot ,,Mass Market
671, Steve Berry ,  9781250058461,,9.99 ,10,The Lost Order ,,Mass Market
672, Madeleine L'Engle ,  9781250153272,,8.99 ,1,A Wrinkle in Time ,,Early & Middle
673, R.J. Palacio ,  9781524720193,,16.99 ,2,Wonder ,,Early & Middle
674, R.J. Palacio ,  9781101934852,,16.99 ,3,Auggie & Me ,,Early & Middle
675, Kelly Barnhill ,  9781616205676,,16.95 ,4,The Girl Who Drank the Moon ,,Early & Middle
676, Raina Telgemeier ,  9780545132060,,10.99 ,5,Smile ,,Early & Middle
677, Kimberly Brubaker Bradley ,  9780147510488,,8.99 ,6,The War That Saved My Life ,,Early & Middle
678, Raina Telgemeier ,  9780545326995,,10.99 ,7,Drama ,,Early & Middle
679, Kimberly Brubaker Bradley ,  9780525429203,,16.99 ,8,The War I Finally Won ,,Early & Middle
680, Katherine Applegate ,  9781250043221,,16.99 ,9,Wishtree ,,Early & Middle
681, Raina Telgemeier ,  9780545540605,,10.99 ,10,Sisters ,,Early & Middle
682, Raina Telgemeier ,  9780545540629,,10.99 ,11,Ghosts ,,Early & Middle
683, British Library ,  9781338267105,,19.99 ,12,Harry Potter: A Journey Through a History of Magic- Debut ,,Early & Middle
684, Katherine Applegate & Patricia Castelao (Illus.) ,  9780061992278,,7.99 ,13,The One and Only Ivan ,,Early & Middle
685, Pete Souza ,  9780316514392,,21.99 ,14,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency ,,Early & Middle
686, Alan Gratz ,  9780545880831,,16.99 ,15,Refugee ,,Early & Middle
687, Angie Thomas ,  9780062498533,,17.99 ,1,The Hate U Give ,,Young Adult
688, John Green ,  9780525555360,,19.99 ,2,Turtles All the Way Down ,,Young Adult
689, Tamora Pierce ,  9780375847110,,18.99 ,3,Tempests and Slaughter ,,Young Adult
690, David Levithan ,  9780525581611,,10.99 ,4,Every Day ,,Young Adult
691, Melissa Albert ,  9781250147905,,16.99 ,5,The Hazel Wood ,,Young Adult
692, Philip Pullman ,  9780375815300,,22.99 ,6,The Book of Dust: La Belle Sauvage ,,Young Adult
693, Becky Albertalli ,  9780062792167,,10.99 ,7,Simon vs. the Homo Sapiens Agenda ,,Young Adult
694, Nicola Yoon ,  9781524769604,,10.99 ,8,"Everything, Everything ",,Young Adult
695, Holly Black ,  9780316310277,,18.99 ,9,The Cruel Prince ,,Young Adult
696, Markus Zusak ,  9780385754729,,12.99 ,10,The Book Thief ,,Young Adult
697, Karen M. McManus ,  9781524714680,,17.99 ,11,One of Us Is Lying ,,Young Adult
698, Ruta Sepetys ,  9780142423622,,10.99 ,12,Salt to the Sea ,,Young Adult
699, Lois Lowry ,  9780544340688,,9.99 ,13,The Giver ,,Young Adult
700, Dhonielle Clayton ,  9781484728499,,17.99 ,14,The Belles ,,Young Adult
701, Marissa Meyer ,  9781250044662,,19.99 ,15,Renegades ,,Young Adult
702, George Saunders ,  9780812985405,,17.00 ,1,Lincoln in the Bardo ,,Trade Paperback Fiction
703, Colson Whitehead ,  9780345804327,,16.95 ,2,The Underground Railroad ,,Trade Paperback Fiction
704, Fredrik Backman ,  9781501160776,,17.00 ,3,Beartown ,,Trade Paperback Fiction
705, Min Jin Lee ,  9781455563920,,15.99 ,4,Pachinko ,,Trade Paperback Fiction
706, Ruth Ware ,  9781501132957,5,16.00 ,5,The Woman in Cabin 10 ,45,Trade Paperback Fiction
707, Anthony Doerr ,  9781501173219,8,17.00 ,6,All the Light We Cannot See ,46,Trade Paperback Fiction
708, Georgia Hunter ,  9780399563096,,16.00 ,7,We Were the Lucky Ones ,,Trade Paperback Fiction
709, Ernest Cline ,  9780804190138,,16.00 ,8,Ready Player One ,,Trade Paperback Fiction
710, Jessica Shattuck ,  9780062563675,,16.99 ,9,The Women in the Castle ,,Trade Paperback Fiction
711, Margaret Atwood ,  9780525435006,9,15.95 ,10,The Handmaid's Tale ,43,Trade Paperback Fiction
712, Rupi Kaur ,  9781449486792,,16.99 ,11,The Sun and Her Flowers ,,Trade Paperback Fiction
713, Andre Aciman ,  9781250169440,15,17.00 ,12,Call Me by Your Name ,6,Trade Paperback Fiction
714, Rupi Kaur ,  9781449474256,13,14.99 ,13,Milk and Honey ,76,Trade Paperback Fiction
715, Shari Lapena ,  9780735221109,11,16.00 ,14,The Couple Next Door ,38,Trade Paperback Fiction
716, Leila Slimani ,  9780143132172,,16.00 ,15,The Perfect Nanny ,4,Trade Paperback Fiction
717, Jen Sincero ,  9780762447695,1,16.00 ,1,You Are a Badass ,135,Trade Paperback Nonfiction
718, Peter Frankopan ,  9781101912379,,20.00 ,2,The Silk Roads ,,Trade Paperback Nonfiction
719, Doug Stanton ,  9781501178511,,18.00 ,3,12 Strong ,,Trade Paperback Nonfiction
720, Jonah Berger ,  9781476759739,4,16.00 ,4,Invisible Influence ,35,Trade Paperback Nonfiction
721, Atul Gawande ,  9781250076229,,16.00 ,5,Being Mortal ,,Trade Paperback Nonfiction
722, Harvard Business School Press ,  9781633690196,7,24.95 ,6,HBR's 10 Must Reads on Emotional Intelligence ,77,Trade Paperback Nonfiction
723, Harvard Business School Press ,  9781422157992,8,24.95 ,7,HBR's 10 Must Reads on Managing Yourself ,57,Trade Paperback Nonfiction
724, Matthew Desmond ,  9780553447453,9,17.00 ,8,Evicted ,40,Trade Paperback Nonfiction
725, Thich Nhat Hanh ,  9781937006884,13,9.95 ,9,How to Love ,21,Trade Paperback Nonfiction
726, Sheelah Kolhatkar ,  9780812985795,14,18.00 ,10,Black Edge ,3,Trade Paperback Nonfiction
727, Douglas J. Preston ,  9781455540013,,15.99 ,11,The Lost City of the Monkey God ,,Trade Paperback Nonfiction
728, Simon Sinek ,  9781591846444,,16.00 ,12,Start With Why ,,Trade Paperback Nonfiction
729, Michael Lewis ,  9780393354775,,16.95 ,13,The Undoing Project ,,Trade Paperback Nonfiction
730, Timothy Snyder ,  9780804190114,,7.99 ,14,On Tyranny ,48,Trade Paperback Nonfiction
731, Chimamanda Ngozi Adichie ,  9781101911761,,7.95 ,15,We Should All Be Feminists ,80,Trade Paperback Nonfiction
732, Tayari Jones ,  9781616208776,,26.95 ,1,An American Marriage ,,Hardcover Fiction
733, Kristin Hannah ,  9780312577230,,28.99 ,2,The Great Alone ,,Hardcover Fiction
734, A.J. Finn ,  9780062678416,,26.99 ,3,The Woman in the Window ,,Hardcover Fiction
735, Celeste Ng ,  9780735224292,,27.00 ,4,Little Fires Everywhere ,,Hardcover Fiction
736, Amor Towles ,  9780670026197,4,27.00 ,5,A Gentleman in Moscow ,76,Hardcover Fiction
737, Chloe Benjamin ,  9780735213180,,26.00 ,6,The Immortalists ,,Hardcover Fiction
738, Jesmyn Ward ,  9781501126062,,26.00 ,7,"Sing, Unburied, Sing ",,Hardcover Fiction
739, Dan Brown ,  9780385514231,,29.95 ,8,Origin ,,Hardcover Fiction
740, Jojo Moyes ,  9780399562457,,27.00 ,9,Still Me ,,Hardcover Fiction
741, Naomi Alderman ,  9780316547611,,26.00 ,10,The Power ,,Hardcover Fiction
742, Jennifer Egan ,  9781476716732,14,27.00 ,11,Manhattan Beach ,20,Hardcover Fiction
743, Amy Bloom ,  9780812995664,,27.00 ,12,White Houses ,1,Hardcover Fiction
744, Greer Hendricks ,  9781250130921,,26.99 ,13,The Wife Between Us ,,Hardcover Fiction
745, John Grisham ,  9780385541176,,28.95 ,14,The Rooster Bar ,,Hardcover Fiction
746, Matt Haig ,  9780525522874,,26.00 ,15,How to Stop Time ,1,Hardcover Fiction
747, Michael Wolff ,  9781250158062,,30.00 ,1,Fire and Fury ,,Hardcover Nonfiction
748, Neil deGrasse Tyson ,  9780393609394,2,18.95 ,2,Astrophysics for People in a Hurry ,42,Hardcover Nonfiction
749, Mark Manson ,  9780062457714,3,24.99 ,3,The Subtle Art of Not Giving A F*ck ,46,Hardcover Nonfiction
750, Dave Eggers ,  9781101947319,,28.95 ,4,The Monk of Mokha ,,Hardcover Nonfiction
751, Tiffany Haddish ,  9781501181825,,26.00 ,5,The Last Black Unicorn ,,Hardcover Nonfiction
752, Steven Pinker ,  9780525427575,,35.00 ,6,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress ",1,Hardcover Nonfiction
753, Walter Isaacson ,  9781501139154,,35.00 ,7,Leonardo da Vinci ,,Hardcover Nonfiction
754, Jordan B. Peterson ,  9780345816023,,25.95 ,8,12 Rules for Life: An Antidote to Chaos ,1,Hardcover Nonfiction
755, J.D. Vance ,  9780062300546,11,27.99 ,9,Hillbilly Elegy ,77,Hardcover Nonfiction
756, The Dalai Lama ,  9780399185045,14,26.00 ,10,The Book of Joy ,48,Hardcover Nonfiction
757, Pete Souza ,  9780316512589,,50.00 ,11,Obama: An Intimate Portrait ,,Hardcover Nonfiction
758, David Grann ,  9780385534246,7,28.95 ,12,Killers of the Flower Moon ,33,Hardcover Nonfiction
759, Steven Levitsky ,  9781524762933,,26.00 ,13,How Democracies Die ,,Hardcover Nonfiction
760, Ray Dalio ,  9781501124020,,30.00 ,14,Principles ,,Hardcover Nonfiction
761, Daniel H. Pink ,  9780735210622,,28.00 ,15,When ,,Hardcover Nonfiction
762, Lee Child ,  9780399593598,,9.99 ,1,No Middle Name ,,Mass Market
763, Ernest Cline ,  9780804190145,,9.99 ,2,Ready Player One ,,Mass Market
764, John Grisham ,  9781101967683,3,9.99 ,3,The Whistler ,32,Mass Market
765, Michael Crichton ,  9780062473363,,9.99 ,4,Dragon Teeth ,,Mass Market
766, Liane Moriarty ,  9780451490049,6,9.99 ,5,The Husband's Secret ,31,Mass Market
767, James Patterson ,  9781478944782,,9.99 ,6,Never Never ,,Mass Market
768, Doug Stanton ,  9781501179952,,9.99 ,7,12 Strong ,7,Mass Market
769, Liane Moriarty ,  9780451490445,,9.99 ,8,What Alice Forgot ,,Mass Market
770, Danielle Steel ,  9781101883938,,8.99 ,9,Against All Odds ,,Mass Market
771, George Orwell ,  9780451524935,,9.99 ,10,1984 ,175,Mass Market
772, Madeleine L'Engle ,  9781250153272,,8.99 ,1,A Wrinkle in Time ,,Early & Middle
773, R.J. Palacio ,  9781524720193,,16.99 ,2,Wonder ,,Early & Middle
774, Kelly Barnhill ,  9781616205676,,16.95 ,3,The Girl Who Drank the Moon ,,Early & Middle
775, R.J. Palacio ,  9781101934852,,16.99 ,4,Auggie & Me ,,Early & Middle
776, Erin Entrada Kelly & Isabel Roxas (Illus.) ,  9780062414151,,16.99 ,5,"Hello, Universe ",,Early & Middle
777, Victoria Jamieson ,  9780525429999,,12.99 ,6,All's Faire in Middle School ,,Early & Middle
778, Raina Telgemeier ,  9780545326995,,10.99 ,7,Drama ,,Early & Middle
779, Raina Telgemeier ,  9780545540605,,10.99 ,8,Sisters ,,Early & Middle
780, Katherine Applegate ,  9781250043221,,16.99 ,9,Wishtree ,,Early & Middle
781, Kimberly Brubaker Bradley ,  9780147510488,,8.99 ,10,The War That Saved My Life ,,Early & Middle
782, Raina Telgemeier ,  9780545132060,,10.99 ,11,Smile ,,Early & Middle
783, Ronald L. Smith ,  9781484787649,,16.99 ,12,Black Panther: The Young Prince ,,Early & Middle
784, Jim McCann ,  9780316413206,,6.99 ,13,Marvel's Black Panther: The Junior Novel ,,Early & Middle
785, Raina Telgemeier ,  9780545540629,,10.99 ,14,Ghosts ,,Early & Middle
786, Victoria Jamieson ,  9780803740167,,12.99 ,15,Roller Girl ,,Early & Middle
787, Angie Thomas ,  9780062498533,,17.99 ,1,The Hate U Give ,,Young Adult
788, John Green ,  9780525555360,,19.99 ,2,Turtles All the Way Down ,,Young Adult
789, David Levithan ,  9780525581611,,10.99 ,3,Every Day ,,Young Adult
790, Becky Albertalli ,  9780062792167,,10.99 ,4,Simon vs. the Homo Sapiens Agenda ,,Young Adult
791, Tamora Pierce ,  9780375847110,,18.99 ,5,Tempests and Slaughter ,,Young Adult
792, Philip Pullman ,  9780375815300,,22.99 ,6,The Book of Dust: La Belle Sauvage ,,Young Adult
793, Jen Wang ,  9781626723634,,16.99 ,7,The Prince and the Dressmaker ,,Young Adult
794, Holly Black ,  9780316310277,,18.99 ,8,The Cruel Prince ,,Young Adult
795, Nina LaCour ,  9780525425892,,17.99 ,9,We Are Okay ,,Young Adult
796, Ruta Sepetys ,  9780142423622,,10.99 ,10,Salt to the Sea ,,Young Adult
797, Jason Reynolds ,  9781481438254,,17.99 ,11,Long Way Down ,,Young Adult
798, Nicola Yoon ,  9781524769604,,10.99 ,12,"Everything, Everything ",,Young Adult
799, John Green ,  9780142424179,,12.99 ,13,The Fault in Our Stars ,,Young Adult
800, Markus Zusak ,  9780385754729,,12.99 ,14,The Book Thief ,,Young Adult
801, Nic Stone ,  9781101939499,,17.99 ,15,Dear Martin ,,Young Adult
802, George Saunders ,  9780812985405,,17.00 ,1,Lincoln in the Bardo ,,Trade Paperback Fiction
803, Colson Whitehead ,  9780345804327,,16.95 ,2,The Underground Railroad ,,Trade Paperback Fiction
804, Min Jin Lee ,  9781455563920,,15.99 ,3,Pachinko ,,Trade Paperback Fiction
805, Fredrik Backman ,  9781501160776,,17.00 ,4,Beartown ,,Trade Paperback Fiction
806, Ernest Cline ,  9780804190138,,16.00 ,5,Ready Player One ,,Trade Paperback Fiction
807, Jessica Shattuck ,  9780062563675,,16.99 ,6,The Women in the Castle ,,Trade Paperback Fiction
808, Ruth Ware ,  9781501132957,5,16.00 ,7,The Woman in Cabin 10 ,46,Trade Paperback Fiction
809, Rupi Kaur ,  9781449486792,,16.99 ,8,The Sun and Her Flowers ,,Trade Paperback Fiction
810, Georgia Hunter ,  9780399563096,,16.00 ,9,We Were the Lucky Ones ,,Trade Paperback Fiction
811, Jodi Picoult ,  9780345544971,,17.00 ,10,Small Great Things ,1,Trade Paperback Fiction
812, Margaret Atwood ,  9780525435006,10,15.95 ,11,The Handmaid's Tale ,44,Trade Paperback Fiction
813, Anthony Doerr ,  9781501173219,6,17.00 ,12,All the Light We Cannot See ,47,Trade Paperback Fiction
814, Shari Lapena ,  9780735221109,14,16.00 ,13,The Couple Next Door ,39,Trade Paperback Fiction
815, Andre Aciman ,  9781250169440,,17.00 ,14,Call Me by Your Name ,,Trade Paperback Fiction
816, Rupi Kaur ,  9781449474256,13,14.99 ,15,Milk and Honey ,77,Trade Paperback Fiction
817, Jen Sincero ,  9780762447695,1,16.00 ,1,You Are a Badass ,136,Trade Paperback Nonfiction
818, Michael Finkel ,  9781101911532,,16.00 ,2,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit ,1,Trade Paperback Nonfiction
819, Peter Frankopan ,  9781101912379,,20.00 ,3,The Silk Roads ,,Trade Paperback Nonfiction
820, Doug Stanton ,  9781501178511,,18.00 ,4,12 Strong ,,Trade Paperback Nonfiction
821, Jonah Berger ,  9781476759739,4,16.00 ,5,Invisible Influence ,36,Trade Paperback Nonfiction
822, Atul Gawande ,  9781250076229,,16.00 ,6,Being Mortal ,,Trade Paperback Nonfiction
