,Author,ISBN,Previous Rank,Price,Rank,Title,Weeks on List,Category
112,Peter Frankopan,9781101912379.0,3.0,20.0,2,The Silk Roads,6.0,Trade Paperback Nonfiction
113,Angie Thomas,9780062498533.0,,17.99,2,The Hate U Give,,Young Adult
114,R.J. Palacio,9781101934852.0,,16.99,3,Auggie & Me,,Early & Middle
115,Dan Brown,9780385514231.0,2.0,29.95,3,Origin,14.0,Hardcover Fiction
116,Mark Manson,9780062457714.0,3.0,24.99,3,The Subtle Art of Not Giving A F*ck,40.0,Hardcover Nonfiction
117,Michael Crichton,9780062473363.0,1.0,9.99,3,Dragon Teeth,6.0,Mass Market
118,Rupi Kaur,9781449486792.0,2.0,16.99,3,The Sun and Her Flowers,14.0,Trade Paperback Fiction
119,Douglas Preston,9781455540013.0,4.0,15.99,3,The Lost City of the Monkey God,17.0,Trade Paperback Nonfiction
120,Philip Pullman,9780375815300.0,,22.99,3,The Book of Dust: La Belle Sauvage,,Young Adult
121,Kelly Barnhill,9781616205676.0,,16.95,4,The Girl Who Drank the Moon,,Early & Middle
122,Celeste Ng,9780735224292.0,7.0,27.0,4,Little Fires Everywhere,17.0,Hardcover Fiction
123,Walter Isaacson,9781501139154.0,1.0,35.0,4,Leonardo da Vinci,12.0,Hardcover Nonfiction
124,Agatha Christie,9780062693662.0,3.0,9.99,4,Murder on the Orient Express,10.0,Mass Market
125,Ruth Ware,9781501132957.0,4.0,16.0,4,The Woman in Cabin 10,39.0,Trade Paperback Fiction
126,Doug Stanton,9781501178511.0,9.0,18.0,4,12 Strong,2.0,Trade Paperback Nonfiction
127,Holly Black,9780316310277.0,,18.99,4,The Cruel Prince,,Young Adult
128,Victoria Jamieson,9780525429999.0,,12.99,5,All's Faire in Middle School,,Early & Middle
129,Jennifer Egan,9781476716732.0,5.0,27.0,5,Manhattan Beach,14.0,Hardcover Fiction
130,Mary Beard,9781631494758.0,5.0,15.95,5,Women & Power: A Manifesto,4.0,Hardcover Nonfiction
131,James Patterson,9781478944782.0,4.0,9.99,5,Never Never,2.0,Mass Market
132,Anthony Doerr,9781501173219.0,1.0,17.0,5,All the Light We Cannot See,40.0,Trade Paperback Fiction
133,Jonah Berger,9781476759739.0,6.0,16.0,5,Invisible Influence,29.0,Trade Paperback Nonfiction
134,Marissa Meyer,9781250044662.0,,19.99,5,Renegades,,Young Adult
135,Raina Telgemeier,9780545326995.0,,10.99,6,Drama,,Early & Middle
136,Andy Weir,9780553448122.0,1.0,27.0,6,Artemis,8.0,Hardcover Fiction
137,Tiffany Haddish,9781501181825.0,9.0,26.0,6,The Last Black Unicorn,2.0,Hardcover Nonfiction
138,Liane Moriarty,9780451490049.0,5.0,9.99,6,The Husband's Secret,25.0,Mass Market
139,Margaret Atwood,9780525435006.0,6.0,15.95,6,The Handmaid's Tale,37.0,Trade Paperback Fiction
140,Atul Gawande,9781250076229.0,2.0,16.0,6,Being Mortal,18.0,Trade Paperback Nonfiction
141,Nicola Yoon,9781524769604.0,,10.99,6,"Everything, Everything (An Indies Introduce Title)",,Young Adult
142,Kimberly Brubaker Bradley,9780147510488.0,,8.99,7,The War That Saved My Life,,Early & Middle
143,A.J. Finn,9780062678416.0,,26.99,7,The Woman in the Window- Debut,1.0,Hardcover Fiction
144,Ron Chernow,9781594204876.0,4.0,40.0,7,Grant,13.0,Hardcover Nonfiction
145,Liane Moriarty,9780451490445.0,,9.99,7,What Alice Forgot,1.0,Mass Market
146,Martha Hall Kelly,9781101883082.0,8.0,17.0,7,Lilac Girls,45.0,Trade Paperback Fiction
147,Alexandra Horowitz,9781476796024.0,7.0,17.0,7,Being a Dog,12.0,Trade Paperback Nonfiction
148,Marie Lu,9780399547966.0,,18.99,7,Warcross,,Young Adult
149,Raina Telgemeier,9780545132060.0,,10.99,8,Smile,,Early & Middle
150,George Saunders,9780812995343.0,8.0,28.0,8,Lincoln in the Bardo,36.0,Hardcover Fiction
151,Ray Dalio,9781501124020.0,8.0,30.0,8,Principles,7.0,Hardcover Nonfiction
152,Doug Stanton,9781501179952.0,10.0,9.99,8,12 Strong,2.0,Mass Market
153,Jessica Shattuck,9780062563675.0,,16.99,8,The Women in the Castle,1.0,Trade Paperback Fiction
154,Matthew Desmond,9780553447453.0,,17.0,8,Evicted,34.0,Trade Paperback Nonfiction
155,Neal Shusterman,9781442472433.0,,11.99,8,Scythe,,Young Adult
156,R.J. Palacio,9780399559181.0,,9.99,9,365 Days of Wonder: Mr. Browne's Precepts,,Early & Middle
157,John Grisham,9780385541176.0,6.0,28.95,9,The Rooster Bar,11.0,Hardcover Fiction
158,Joe Biden,9781250171672.0,6.0,27.0,9,"Promise Me, Dad",8.0,Hardcover Nonfiction
159,Nicholas Sparks,9781478948377.0,9.0,8.99,9,Safe Haven,2.0,Mass Market
160,Ernest Cline,9780307887443.0,5.0,16.0,9,Ready Player One,22.0,Trade Paperback Fiction
161,Timothy Snyder,9780804190114.0,8.0,7.99,9,On Tyranny,43.0,Trade Paperback Nonfiction
162,John Green,9780142424179.0,,12.99,9,The Fault in Our Stars,,Young Adult
163,Raina Telgemeier,9780545540605.0,,10.99,10,Sisters,,Early & Middle
164,Naomi Alderman,9780316547611.0,,26.0,10,The Power,1.0,Hardcover Fiction
165,J.D. Vance,9780062300546.0,10.0,27.99,10,Hillbilly Elegy,71.0,Hardcover Nonfiction
166,Danielle Steel,9781101883907.0,6.0,8.99,10,Dangerous Games,4.0,Mass Market
167,Shari Lapena,9780735221109.0,9.0,16.0,10,The Couple Next Door,32.0,Trade Paperback Fiction
168,Michael Lewis,9780393354775.0,5.0,16.95,10,The Undoing Project,10.0,Trade Paperback Nonfiction
169,Markus Zusak,9780385754729.0,,12.99,10,The Book Thief,,Young Adult
170,Pete Souza,9780316514392.0,,21.99,11,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,,Early & Middle
171,Mohsin Hamid,9780735212176.0,15.0,26.0,11,Exit West,11.0,Hardcover Fiction
172,David Grann,9780385534246.0,11.0,28.95,11,Killers of the Flower Moon,27.0,Hardcover Nonfiction
173,Paulette Jiles,9780062409218.0,13.0,15.99,11,News of the World,24.0,Trade Paperback Fiction
174,Harvard Business School Press,9781633690196.0,11.0,24.95,11,HBR's 10 Must Reads on Emotional Intelligence,71.0,Trade Paperback Nonfiction
175,Veronica Roth,9780062348647.0,,12.99,11,Carve the Mark,,Young Adult
176,Kimberly Brubaker Bradley,9780525429203.0,,16.99,12,The War I Finally Won,,Early & Middle
177,Isabel Allende,9781501178139.0,10.0,28.0,12,In the Midst of Winter,10.0,Hardcover Fiction
178,Ta-Nehisi Coates,9780399590566.0,7.0,28.0,12,We Were Eight Years in Power,14.0,Hardcover Nonfiction
179,Georgia Hunter,9780399563096.0,,16.0,12,We Were the Lucky Ones,1.0,Trade Paperback Fiction
180,Harvard Business School Press,9781422157992.0,13.0,24.95,12,HBR's 10 Must Reads on Managing Yourself,51.0,Trade Paperback Nonfiction
181,John Green,9780525428022.0,,19.99,12,Looking for Alaska,,Young Adult
182,Katherine Applegate,9781250043221.0,,16.99,13,Wishtree,,Early & Middle
183,Tom Hanks,9781101946152.0,9.0,26.95,13,Uncommon Type,12.0,Hardcover Fiction
184,The Dalai Lama,9780399185045.0,,26.0,13,The Book of Joy,42.0,Hardcover Nonfiction
185,Fredrik Backman,9781476738024.0,10.0,16.0,13,A Man Called Ove,113.0,Trade Paperback Fiction
186,Robert Moor,9781476739236.0,10.0,16.0,13,On Trails,27.0,Trade Paperback Nonfiction
187,Robin Benway,9780062330628.0,,17.99,13,Far From the Tree,,Young Adult
188,Shannon Hale & LeUyen Pham (Illus.),9781626727854.0,,12.99,14,Real Friends,,Early & Middle
189,Lee Child,9780399593482.0,11.0,28.99,14,The Midnight Line,9.0,Hardcover Fiction
190,Margareta Magnusson,9781501173240.0,,18.99,14,The Gentle Art of Swedish Death Cleaning: How to Free Yourself and Your Family from a Lifetime of Clutter,1.0,Hardcover Nonfiction
191,B.A. Paris,9781250132369.0,11.0,16.99,14,Behind Closed Doors,26.0,Trade Paperback Fiction
192,Luke Harding,9780525562511.0,,16.95,14,Collusion,2.0,Trade Paperback Nonfiction
193,Karen M. McManus,9781524714680.0,,17.99,14,One of Us Is Lying,,Young Adult
194,Victoria Jamieson,9780803740167.0,,12.99,15,Roller Girl,,Early & Middle
195,James Lee Burke,9781501176845.0,,27.99,15,Robicheaux,1.0,Hardcover Fiction
196,Peter Wohlleben,9781771642484.0,12.0,24.95,15,The Hidden Life of Trees,61.0,Hardcover Nonfiction
197,Ann Patchett,9780062491831.0,12.0,16.99,15,Commonwealth,36.0,Trade Paperback Fiction
198,Chimamanda Ngozi Adichie,9781101911761.0,,7.95,15,We Should All Be Feminists,78.0,Trade Paperback Nonfiction
199,Nic Stone,9781101939499.0,,17.99,15,Dear Martin,,Young Adult
200,Peter Heller,9781101973486.0,,16.0,16,Celine,,Trade Paperback Fiction
201,Madeleine L'Engle,9781250153272.0,,8.99,1,A Wrinkle in Time,,Early & Middle
202,Jesmyn Ward,9781501126062.0,1.0,26.0,1,"Sing, Unburied, Sing",15.0,Hardcover Fiction
203,Michael Wolff,9781250158062.0,1.0,30.0,1,Fire and Fury: Inside the Trump White House,2.0,Hardcover Nonfiction
204,Lee Child,9780399593598.0,1.0,9.99,1,No Middle Name,2.0,Mass Market
205,Min Jin Lee,9781455563920.0,2.0,15.99,1,Pachinko,9.0,Trade Paperback Fiction
206,Jen Sincero,9780762447695.0,1.0,16.0,1,You Are a Badass,130.0,Trade Paperback Nonfiction
207,John Green,9780525555360.0,,19.99,1,Turtles All the Way Down,,Young Adult
208,R.J. Palacio,9781524720193.0,,16.99,2,Wonder,,Early & Middle
209,Chloe Benjamin,9780735213180.0,,26.0,2,The Immortalists- Debut,1.0,Hardcover Fiction
210,Neil deGrasse Tyson,9780393609394.0,2.0,18.95,2,Astrophysics for People in a Hurry,37.0,Hardcover Nonfiction
211,Michael Crichton,9780062473363.0,3.0,9.99,2,Dragon Teeth,7.0,Mass Market
212,Jessica Shattuck,9780062563675.0,8.0,16.99,2,The Women in the Castle,2.0,Trade Paperback Fiction
213,Peter Frankopan,9781101912379.0,2.0,20.0,2,The Silk Roads,7.0,Trade Paperback Nonfiction
214,Angie Thomas,9780062498533.0,,17.99,2,The Hate U Give,,Young Adult
215,R.J. Palacio,9781101934852.0,,16.99,3,Auggie & Me,,Early & Middle
216,A.J. Finn,9780062678416.0,7.0,26.99,3,The Woman in the Window,2.0,Hardcover Fiction
217,Mark Manson,9780062457714.0,3.0,24.99,3,The Subtle Art of Not Giving A F*ck,41.0,Hardcover Nonfiction
218,John Grisham,9781101967683.0,2.0,9.99,3,The Whistler,27.0,Mass Market
219,Margaret Atwood,9780525435006.0,6.0,15.95,3,The Handmaid's Tale,38.0,Trade Paperback Fiction
220,Douglas Preston,9781455540013.0,3.0,15.99,3,The Lost City of the Monkey God,18.0,Trade Paperback Nonfiction
221,Philip Pullman,9780375815300.0,,22.99,3,The Book of Dust: La Belle Sauvage,,Young Adult
222,Victoria Jamieson,9780525429999.0,,12.99,4,All's Faire in Middle School,,Early & Middle
