Week,Author,Title,Price,ISBN,Rank,Category
2,Shannon Hale & LeUyen Pham (Illus.),Real Friends,12.99,9781626727854.0,14,Early & Middle
2,Victoria Jamieson,Roller Girl,12.99,9780803740167.0,15,Early & Middle
2,Jesmyn Ward,"Sing, Unburied, Sing",26.0,9781501126062.0,1,Hardcover Fiction
2,Amor Towles,A Gentleman in Moscow,27.0,9780670026197.0,2,Hardcover Fiction
2,Dan Brown,Origin,29.95,9780385514231.0,3,Hardcover Fiction
2,Celeste Ng,Little Fires Everywhere,27.0,9780735224292.0,4,Hardcover Fiction
2,Jennifer Egan,Manhattan Beach,27.0,9781476716732.0,5,Hardcover Fiction
2,Andy Weir,Artemis,27.0,9780553448122.0,6,Hardcover Fiction
2,A.J. Finn,The Woman in the Window- Debut,26.99,9780062678416.0,7,Hardcover Fiction
2,George Saunders,Lincoln in the Bardo,28.0,9780812995343.0,8,Hardcover Fiction
2,John Grisham,The Rooster Bar,28.95,9780385541176.0,9,Hardcover Fiction
2,Naomi Alderman,The Power,26.0,9780316547611.0,10,Hardcover Fiction
2,Mohsin Hamid,Exit West,26.0,9780735212176.0,11,Hardcover Fiction
2,Isabel Allende,In the Midst of Winter,28.0,9781501178139.0,12,Hardcover Fiction
2,Tom Hanks,Uncommon Type,26.95,9781101946152.0,13,Hardcover Fiction
2,Lee Child,The Midnight Line,28.99,9780399593482.0,14,Hardcover Fiction
2,James Lee Burke,Robicheaux,27.99,9781501176845.0,15,Hardcover Fiction
2,Michael Wolff,Fire and Fury: Inside the Trump White House,30.0,9781250158062.0,1,Hardcover Nonfiction
2,Neil deGrasse Tyson,Astrophysics for People in a Hurry,18.95,9780393609394.0,2,Hardcover Nonfiction
2,Mark Manson,The Subtle Art of Not Giving A F*ck,24.99,9780062457714.0,3,Hardcover Nonfiction
2,Walter Isaacson,Leonardo da Vinci,35.0,9781501139154.0,4,Hardcover Nonfiction
2,Mary Beard,Women & Power: A Manifesto,15.95,9781631494758.0,5,Hardcover Nonfiction
2,Tiffany Haddish,The Last Black Unicorn,26.0,9781501181825.0,6,Hardcover Nonfiction
2,Ron Chernow,Grant,40.0,9781594204876.0,7,Hardcover Nonfiction
2,Ray Dalio,Principles,30.0,9781501124020.0,8,Hardcover Nonfiction
2,Joe Biden,"Promise Me, Dad",27.0,9781250171672.0,9,Hardcover Nonfiction
2,J.D. Vance,Hillbilly Elegy,27.99,9780062300546.0,10,Hardcover Nonfiction
2,David Grann,Killers of the Flower Moon,28.95,9780385534246.0,11,Hardcover Nonfiction
2,Ta-Nehisi Coates,We Were Eight Years in Power,28.0,9780399590566.0,12,Hardcover Nonfiction
2,The Dalai Lama,The Book of Joy,26.0,9780399185045.0,13,Hardcover Nonfiction
2,Margareta Magnusson,The Gentle Art of Swedish Death Cleaning: How to Free Yourself and Your Family from a Lifetime of Clutter,18.99,9781501173240.0,14,Hardcover Nonfiction
2,Peter Wohlleben,The Hidden Life of Trees,24.95,9781771642484.0,15,Hardcover Nonfiction
2,Lee Child,No Middle Name,9.99,9780399593598.0,1,Mass Market
2,John Grisham,The Whistler,9.99,9781101967683.0,2,Mass Market
2,Michael Crichton,Dragon Teeth,9.99,9780062473363.0,3,Mass Market
2,Agatha Christie,Murder on the Orient Express,9.99,9780062693662.0,4,Mass Market
2,James Patterson,Never Never,9.99,9781478944782.0,5,Mass Market
2,Liane Moriarty,The Husband's Secret,9.99,9780451490049.0,6,Mass Market
2,Liane Moriarty,What Alice Forgot,9.99,9780451490445.0,7,Mass Market
2,Doug Stanton,12 Strong,9.99,9781501179952.0,8,Mass Market
2,Nicholas Sparks,Safe Haven,8.99,9781478948377.0,9,Mass Market
2,Danielle Steel,Dangerous Games,8.99,9781101883907.0,10,Mass Market
2,Rupi Kaur,Milk and Honey,14.99,9781449474256.0,1,Trade Paperback Fiction
2,Min Jin Lee,Pachinko,15.99,9781455563920.0,2,Trade Paperback Fiction
2,Rupi Kaur,The Sun and Her Flowers,16.99,9781449486792.0,3,Trade Paperback Fiction
2,Ruth Ware,The Woman in Cabin 10,16.0,9781501132957.0,4,Trade Paperback Fiction
2,Anthony Doerr,All the Light We Cannot See,17.0,9781501173219.0,5,Trade Paperback Fiction
2,Margaret Atwood,The Handmaid's Tale,15.95,9780525435006.0,6,Trade Paperback Fiction
2,Martha Hall Kelly,Lilac Girls,17.0,9781101883082.0,7,Trade Paperback Fiction
2,Jessica Shattuck,The Women in the Castle,16.99,9780062563675.0,8,Trade Paperback Fiction
2,Ernest Cline,Ready Player One,16.0,9780307887443.0,9,Trade Paperback Fiction
2,Shari Lapena,The Couple Next Door,16.0,9780735221109.0,10,Trade Paperback Fiction
2,Paulette Jiles,News of the World,15.99,9780062409218.0,11,Trade Paperback Fiction
2,Georgia Hunter,We Were the Lucky Ones,16.0,9780399563096.0,12,Trade Paperback Fiction
2,Fredrik Backman,A Man Called Ove,16.0,9781476738024.0,13,Trade Paperback Fiction
2,B.A. Paris,Behind Closed Doors,16.99,9781250132369.0,14,Trade Paperback Fiction
2,Ann Patchett,Commonwealth,16.99,9780062491831.0,15,Trade Paperback Fiction
2,Peter Heller,Celine,16.0,9781101973486.0,16,Trade Paperback Fiction
2,Jen Sincero,You Are a Badass,16.0,9780762447695.0,1,Trade Paperback Nonfiction
2,Peter Frankopan,The Silk Roads,20.0,9781101912379.0,2,Trade Paperback Nonfiction
2,Douglas Preston,The Lost City of the Monkey God,15.99,9781455540013.0,3,Trade Paperback Nonfiction
2,Doug Stanton,12 Strong,18.0,9781501178511.0,4,Trade Paperback Nonfiction
2,Jonah Berger,Invisible Influence,16.0,9781476759739.0,5,Trade Paperback Nonfiction
2,Atul Gawande,Being Mortal,16.0,9781250076229.0,6,Trade Paperback Nonfiction
