index_number,x1,x2,x3,x4,y
16160,0.4,0.9,0.8,0.1,0.53621596
16161,0.433333,0.9,0.8,0.1,0.50346986
16162,0.466667,0.9,0.8,0.1,0.47058364
16163,0.5,0.9,0.8,0.1,0.43748412
16164,0.533333,0.9,0.8,0.1,0.4041211
16165,0.566667,0.9,0.8,0.1,0.370466
16166,0.6,0.9,0.8,0.1,0.33650452
16167,0.633333,0.9,0.8,0.1,0.3022353
16168,0.666667,0.9,0.8,0.1,0.26766384
16169,0.7,0.9,0.8,0.1,0.23280022
16170,0.733333,0.9,0.8,0.1,0.197656608
16171,0.766667,0.9,0.8,0.1,0.162243374
16172,0.8,0.9,0.8,0.1,0.126581752
16173,0.833333,0.9,0.8,0.1,0.090672132
16174,0.866667,0.9,0.8,0.1,0.054534092
16175,0.9,0.9,0.8,0.1,0.018191272
16176,0.933333,0.9,0.8,0.1,-0.018378483
16177,0.966667,0.9,0.8,0.1,-0.055139456
16178,1.0,0.9,0.8,0.1,-0.092077534
16180,-1.05,0.9,0.9,0.1,2.042115
16181,-1.0,0.9,0.9,0.1,1.98645378
16182,-0.966667,0.9,0.9,0.1,1.94955212
16183,-0.933333,0.9,0.9,0.1,1.9128224
16184,-0.9,0.9,0.9,0.1,1.87626742
16185,-0.866667,0.9,0.9,0.1,1.83989144
16186,-0.833333,0.9,0.9,0.1,1.80369766
16187,-0.8,0.9,0.9,0.1,1.76768924
16188,-0.766667,0.9,0.9,0.1,1.7318668
16189,-0.733333,0.9,0.9,0.1,1.69623158
16190,-0.7,0.9,0.9,0.1,1.66078284
16191,-0.666667,0.9,0.9,0.1,1.62551868
16192,-0.633333,0.9,0.9,0.1,1.5904334
16193,-0.6,0.9,0.9,0.1,1.55552058
16194,-0.566667,0.9,0.9,0.1,1.52077042
16195,-0.533333,0.9,0.9,0.1,1.48617068
16196,-0.5,0.9,0.9,0.1,1.45170434
16197,-0.466667,0.9,0.9,0.1,1.41735326
16198,-0.433333,0.9,0.9,0.1,1.3830958
16199,-0.4,0.9,0.9,0.1,1.34890898
16200,-0.366667,0.9,0.9,0.1,1.314769
16201,-0.333333,0.9,0.9,0.1,1.28065282
16202,-0.3,0.9,0.9,0.1,1.24653968
16203,-0.266667,0.9,0.9,0.1,1.21241208
16204,-0.233333,0.9,0.9,0.1,1.17825694
16205,-0.2,0.9,0.9,0.1,1.14406636
16206,-0.166667,0.9,0.9,0.1,1.10983728
16207,-0.133333,0.9,0.9,0.1,1.07557158
16208,-0.1,0.9,0.9,0.1,1.04127568
16209,-0.066667,0.9,0.9,0.1,1.00695974
16210,-0.033333,0.9,0.9,0.1,0.97263732
16211,0.0,0.9,0.9,0.1,0.9383252
16212,0.033333,0.9,0.9,0.1,0.90404292
16213,0.066667,0.9,0.9,0.1,0.86981298
16214,0.1,0.9,0.9,0.1,0.83566106
16215,0.133333,0.9,0.9,0.1,0.801616
16216,0.166667,0.9,0.9,0.1,0.7677093
16217,0.2,0.9,0.9,0.1,0.73397056
16218,0.233333,0.9,0.9,0.1,0.70042362
16219,0.266667,0.9,0.9,0.1,0.66708298
16220,0.3,0.9,0.9,0.1,0.63394714
16221,0.333333,0.9,0.9,0.1,0.60099002
16222,0.366667,0.9,0.9,0.1,0.5681572
16223,0.4,0.9,0.9,0.1,0.53537108
16224,0.433333,0.9,0.9,0.1,0.5025437
16225,0.466667,0.9,0.9,0.1,0.4695917
16226,0.5,0.9,0.9,0.1,0.43644654
16227,0.533333,0.9,0.9,0.1,0.40305804
16228,0.566667,0.9,0.9,0.1,0.3693949
16229,0.6,0.9,0.9,0.1,0.33543908
16230,0.633333,0.9,0.9,0.1,0.3011854
16231,0.666667,0.9,0.9,0.1,0.26663602
16232,0.7,0.9,0.9,0.1,0.23179866
16233,0.733333,0.9,0.9,0.1,0.196682886
16234,0.766667,0.9,0.9,0.1,0.16129902
16235,0.8,0.9,0.9,0.1,0.125665474
16236,0.833333,0.9,0.9,0.1,0.089783578
16237,0.866667,0.9,0.9,0.1,0.053673078
16238,0.9,0.9,0.9,0.1,0.017354768
16239,0.933333,0.9,0.9,0.1,-0.019191265
16240,0.966667,0.9,0.9,0.1,-0.055929752
16241,1.0,0.9,0.9,0.1,-0.09284793
16243,-1.05,0.9,1.0,0.1,2.0431948
16244,-1.0,0.9,1.0,0.1,1.98753862
16245,-0.966667,0.9,1.0,0.1,1.95063558
16246,-0.933333,0.9,1.0,0.1,1.91390026
16247,-0.9,0.9,1.0,0.1,1.87733474
16248,-0.866667,0.9,1.0,0.1,1.84094244
16249,-0.833333,0.9,1.0,0.1,1.80472568
16250,-0.8,0.9,1.0,0.1,1.7686867
16251,-0.766667,0.9,1.0,0.1,1.73282516
16252,-0.733333,0.9,1.0,0.1,1.69714128
16253,-0.7,0.9,1.0,0.1,1.66163342
16254,-0.666667,0.9,1.0,0.1,1.6262989
16255,-0.633333,0.9,1.0,0.1,1.5911315
16256,-0.6,0.9,1.0,0.1,1.55612452
16257,-0.566667,0.9,1.0,0.1,1.52126846
16258,-0.533333,0.9,1.0,0.1,1.48655194
16259,-0.5,0.9,1.0,0.1,1.4519595
16260,-0.466667,0.9,1.0,0.1,1.41747534
16261,-0.433333,0.9,1.0,0.1,1.383081
16262,-0.4,0.9,1.0,0.1,1.34875716
16263,-0.366667,0.9,1.0,0.1,1.31448414
16264,-0.333333,0.9,1.0,0.1,1.2802429
16265,-0.3,0.9,1.0,0.1,1.24601634
16266,-0.266667,0.9,1.0,0.1,1.2117899
16267,-0.233333,0.9,1.0,0.1,1.1775524
16268,-0.2,0.9,1.0,0.1,1.14329676
16269,-0.166667,0.9,1.0,0.1,1.10901986
16270,-0.133333,0.9,1.0,0.1,1.07472262
16271,-0.1,0.9,1.0,0.1,1.04041006
16272,-0.066667,0.9,1.0,0.1,1.00609058
16273,-0.033333,0.9,1.0,0.1,0.97177592
16274,0.0,0.9,1.0,0.1,0.93748098
16275,0.033333,0.9,1.0,0.1,0.90322348
16276,0.066667,0.9,1.0,0.1,0.86902402
16277,0.1,0.9,1.0,0.1,0.83490618
16278,0.133333,0.9,1.0,0.1,0.80089624
16279,0.166667,0.9,1.0,0.1,0.7670219
16280,0.2,0.9,1.0,0.1,0.73330788
16281,0.233333,0.9,1.0,0.1,0.69977236
16282,0.266667,0.9,1.0,0.1,0.66642412
16283,0.3,0.9,1.0,0.1,0.63325734
16284,0.333333,0.9,1.0,0.1,0.60024558
16285,0.366667,0.9,1.0,0.1,0.56733986
16286,0.4,0.9,1.0,0.1,0.5344727
16287,0.433333,0.9,1.0,0.1,0.50156758
16288,0.466667,0.9,1.0,0.1,0.4685501
16289,0.5,0.9,1.0,0.1,0.43535662
16290,0.533333,0.9,1.0,0.1,0.40193804
16291,0.566667,0.9,1.0,0.1,0.36826158
16292,0.6,0.9,1.0,0.1,0.3343063
16293,0.633333,0.9,1.0,0.1,0.30006378
16294,0.666667,0.9,1.0,0.1,0.2655331
16295,0.7,0.9,1.0,0.1,0.23071954
16296,0.733333,0.9,1.0,0.1,0.195630222
16297,0.766667,0.9,1.0,0.1,0.160274922
16298,0.8,0.9,1.0,0.1,0.124669374
16299,0.833333,0.9,1.0,0.1,0.08881557
16300,0.866667,0.9,1.0,0.1,0.052733308
16301,0.9,0.9,1.0,0.1,0.016440365
16302,0.933333,0.9,1.0,0.1,-0.020080916
16303,0.966667,0.9,1.0,0.1,-0.056795864
16304,1.0,0.9,1.0,0.1,-0.09369301
16306,-1.05,0.9,1.1,0.1,2.0443064
16307,-1.0,0.9,1.1,0.1,1.98864928
16308,-0.966667,0.9,1.1,0.1,1.9517404
16309,-0.933333,0.9,1.1,0.1,1.91499478
16310,-0.9,0.9,1.1,0.1,1.87841378
16311,-0.866667,0.9,1.1,0.1,1.84200014
16312,-0.833333,0.9,1.1,0.1,1.8057554
16313,-0.8,0.9,1.1,0.1,1.76968102
16314,-0.766667,0.9,1.1,0.1,1.73377586
16315,-0.733333,0.9,1.1,0.1,1.6980394
16316,-0.7,0.9,1.1,0.1,1.66246936
16317,-0.666667,0.9,1.1,0.1,1.62706256
16318,-0.633333,0.9,1.1,0.1,1.5918125
16319,-0.6,0.9,1.1,0.1,1.55671256
16320,-0.566667,0.9,1.1,0.1,1.52175368
16321,-0.533333,0.9,1.1,0.1,1.48692544
16322,-0.5,0.9,1.1,0.1,1.45221392
16323,-0.466667,0.9,1.1,0.1,1.41760542
16324,-0.433333,0.9,1.1,0.1,1.38308404
16325,-0.4,0.9,1.1,0.1,1.34863348
16326,-0.366667,0.9,1.1,0.1,1.31423728
16327,-0.333333,0.9,1.1,0.1,1.27987964
16328,-0.3,0.9,1.1,0.1,1.24554632
16329,-0.266667,0.9,1.1,0.1,1.21122516
16330,-0.233333,0.9,1.1,0.1,1.17690666
16331,-0.2,0.9,1.1,0.1,1.14258468
16332,-0.166667,0.9,1.1,0.1,1.10825628
16333,-0.133333,0.9,1.1,0.1,1.07392202
16334,-0.1,0.9,1.1,0.1,1.03958596
16335,-0.066667,0.9,1.1,0.1,1.00525526
16336,-0.033333,0.9,1.1,0.1,0.9709402
16337,0.0,0.9,1.1,0.1,0.93665408
16338,0.033333,0.9,1.1,0.1,0.90241294
16339,0.066667,0.9,1.1,0.1,0.86823548
16340,0.1,0.9,1.1,0.1,0.83414312
16341,0.133333,0.9,1.1,0.1,0.8001593
16342,0.166667,0.9,1.1,0.1,0.76630806
16343,0.2,0.9,1.1,0.1,0.73260946
16344,0.233333,0.9,1.1,0.1,0.69907682
16345,0.266667,0.9,1.1,0.1,0.66571434
16346,0.3,0.9,1.1,0.1,0.63251322
16347,0.333333,0.9,1.1,0.1,0.59944726
16348,0.366667,0.9,1.1,0.1,0.56647204
16349,0.4,0.9,1.1,0.1,0.53352822
16350,0.433333,0.9,1.1,0.1,0.50054846
16351,0.466667,0.9,1.1,0.1,0.46746616
16352,0.5,0.9,1.1,0.1,0.43422246
16353,0.533333,0.9,1.1,0.1,0.40077006
16354,0.566667,0.9,1.1,0.1,0.36707552
16355,0.6,0.9,1.1,0.1,0.33311588
16356,0.633333,0.9,1.1,0.1,0.29888002
16357,0.666667,0.9,1.1,0.1,0.26436432
16358,0.7,0.9,1.1,0.1,0.22957156
16359,0.733333,0.9,1.1,0.1,0.19450671
16360,0.766667,0.9,1.1,0.1,0.159178562
16361,0.8,0.9,1.1,0.1,0.12360033
16362,0.833333,0.9,1.1,0.1,0.087774432
16363,0.866667,0.9,1.1,0.1,0.051720584
16364,0.9,0.9,1.1,0.1,0.015453419
16365,0.933333,0.9,1.1,0.1,-0.02104248
16366,0.966667,0.9,1.1,0.1,-0.057733202
16367,1.0,0.9,1.1,0.1,-0.094608502
16369,-1.05,0.9,1.2,0.1,2.0454418
16370,-1.0,0.9,1.2,0.1,1.98977768
16371,-0.966667,0.9,1.2,0.1,1.95285884
16372,-0.933333,0.9,1.2,0.1,1.91609862
16373,-0.9,0.9,1.2,0.1,1.87949782
16374,-0.866667,0.9,1.2,0.1,1.84305852
16375,-0.833333,0.9,1.2,0.1,1.80678166
16376,-0.8,0.9,1.2,0.1,1.770668
16377,-0.766667,0.9,1.2,0.1,1.7347158
16378,-0.733333,0.9,1.2,0.1,1.69892402
16379,-0.7,0.9,1.2,0.1,1.66328992
16380,-0.666667,0.9,1.2,0.1,1.62781006
16381,-0.633333,0.9,1.2,0.1,1.59247786
16382,-0.6,0.9,1.2,0.1,1.55728694
16383,-0.566667,0.9,1.2,0.1,1.52222884
16384,-0.533333,0.9,1.2,0.1,1.48729412
16385,-0.5,0.9,1.2,0.1,1.45247022
16386,-0.466667,0.9,1.2,0.1,1.41774528
16387,-0.433333,0.9,1.2,0.1,1.3831056
16388,-0.4,0.9,1.2,0.1,1.34853734
16389,-0.366667,0.9,1.2,0.1,1.31402664
16390,-0.333333,0.9,1.2,0.1,1.27956022
16391,-0.3,0.9,1.2,0.1,1.24512628
16392,-0.266667,0.9,1.2,0.1,1.21071454
16393,-0.233333,0.9,1.2,0.1,1.17631706
16394,-0.2,0.9,1.2,0.1,1.14192856
16395,-0.166667,0.9,1.2,0.1,1.10754652
16396,-0.133333,0.9,1.2,0.1,1.07317134
16397,-0.1,0.9,1.2,0.1,1.0388065
16398,-0.066667,0.9,1.2,0.1,1.0044583
16399,-0.033333,0.9,1.2,0.1,0.97013582
16400,0.0,0.9,1.2,0.1,0.935851
16401,0.033333,0.9,1.2,0.1,0.90161832
16402,0.066667,0.9,1.2,0.1,0.86745468
16403,0.1,0.9,1.2,0.1,0.83337922
16404,0.133333,0.9,1.2,0.1,0.79941268
16405,0.166667,0.9,1.2,0.1,0.76557546
16406,0.2,0.9,1.2,0.1,0.7318834
16407,0.233333,0.9,1.2,0.1,0.69834572
16408,0.266667,0.9,1.2,0.1,0.664963
16409,0.3,0.9,1.2,0.1,0.63172434
16410,0.333333,0.9,1.2,0.1,0.59860416
16411,0.366667,0.9,1.2,0.1,0.56556188
16412,0.4,0.9,1.2,0.1,0.53254474
16413,0.433333,0.9,1.2,0.1,0.49949296
16414,0.466667,0.9,1.2,0.1,0.46634658
16415,0.5,0.9,1.2,0.1,0.43305134
16416,0.533333,0.9,1.2,0.1,0.399562
16417,0.566667,0.9,1.2,0.1,0.36584522
16418,0.6,0.9,1.2,0.1,0.33187662
16419,0.633333,0.9,1.2,0.1,0.29764298
16420,0.666667,0.9,1.2,0.1,0.26313828
16421,0.7,0.9,1.2,0.1,0.22836306
16422,0.733333,0.9,1.2,0.1,0.193320172
16423,0.766667,0.9,1.2,0.1,0.158017254
16424,0.8,0.9,1.2,0.1,0.122465138
16425,0.833333,0.9,1.2,0.1,0.086666464
16426,0.866667,0.9,1.2,0.1,0.050640726
16427,0.9,0.9,1.2,0.1,0.014399333
16428,0.933333,0.9,1.2,0.1,-0.022070942
16429,0.966667,0.9,1.2,0.1,-0.058737098
16430,1.0,0.9,1.2,0.1,-0.095590044
16432,-1.05,0.9,1.3,0.1,2.0465938
16433,-1.0,0.9,1.3,0.1,1.99091738
16434,-0.966667,0.9,1.3,0.1,1.9539848
16435,-0.933333,0.9,1.3,0.1,1.9172062
16436,-0.9,0.9,1.3,0.1,1.88058184
16437,-0.866667,0.9,1.3,0.1,1.84411328
16438,-0.833333,0.9,1.3,0.1,1.80780088
16439,-0.8,0.9,1.3,0.1,1.77164494
16440,-0.766667,0.9,1.3,0.1,1.73564322
16441,-0.733333,0.9,1.3,0.1,1.69979432
16442,-0.7,0.9,1.3,0.1,1.66409522
16443,-0.666667,0.9,1.3,0.1,1.62854236
16444,-0.633333,0.9,1.3,0.1,1.59312926
16445,-0.6,0.9,1.3,0.1,1.55784988
16446,-0.566667,0.9,1.3,0.1,1.5226964
16447,-0.533333,0.9,1.3,0.1,1.48766028
16448,-0.5,0.9,1.3,0.1,1.45273028
16449,-0.466667,0.9,1.3,0.1,1.4178961
16450,-0.433333,0.9,1.3,0.1,1.38314588
16451,-0.4,0.9,1.3,0.1,1.34846786
16452,-0.366667,0.9,1.3,0.1,1.31385026
16453,-0.333333,0.9,1.3,0.1,1.27928192
16454,-0.3,0.9,1.3,0.1,1.24475294
16455,-0.266667,0.9,1.3,0.1,1.21025472
16456,-0.233333,0.9,1.3,0.1,1.17578058
16457,-0.2,0.9,1.3,0.1,1.14132616
16458,-0.166667,0.9,1.3,0.1,1.10688932
16459,-0.133333,0.9,1.3,0.1,1.07247048
16460,-0.1,0.9,1.3,0.1,1.03807284
16461,-0.066667,0.9,1.3,0.1,1.003702
16462,-0.033333,0.9,1.3,0.1,0.96936612
16463,0.0,0.9,1.3,0.1,0.93507594
16464,0.033333,0.9,1.3,0.1,0.90084448
16465,0.066667,0.9,1.3,0.1,0.8666869
16466,0.1,0.9,1.3,0.1,0.83262024
16467,0.133333,0.9,1.3,0.1,0.79866248
16468,0.166667,0.9,1.3,0.1,0.76483064
16469,0.2,0.9,1.3,0.1,0.7311369
16470,0.233333,0.9,1.3,0.1,0.69758696
16471,0.266667,0.9,1.3,0.1,0.66417858
16472,0.3,0.9,1.3,0.1,0.6308994
16473,0.333333,0.9,1.3,0.1,0.59772462
16474,0.366667,0.9,1.3,0.1,0.56461696
16475,0.4,0.9,1.3,0.1,0.53152902
16476,0.433333,0.9,1.3,0.1,0.49840732
16477,0.466667,0.9,1.3,0.1,0.46519762
16478,0.5,0.9,1.3,0.1,0.43184982
16479,0.533333,0.9,1.3,0.1,0.39832098
16480,0.566667,0.9,1.3,0.1,0.36457828
16481,0.6,0.9,1.3,0.1,0.33059648
16482,0.633333,0.9,1.3,0.1,0.29636074
16483,0.666667,0.9,1.3,0.1,0.26186304
16484,0.7,0.9,1.3,0.1,0.22710184
16485,0.733333,0.9,1.3,0.1,0.192078062
16486,0.766667,0.9,1.3,0.1,0.15679806
16487,0.8,0.9,1.3,0.1,0.121270422
16488,0.833333,0.9,1.3,0.1,0.085497864
16489,0.866667,0.9,1.3,0.1,0.049499498
16490,0.9,0.9,1.3,0.1,0.013283486
16491,0.933333,0.9,1.3,0.1,-0.02316128
16492,0.966667,0.9,1.3,0.1,-0.059802864
16493,1.0,0.9,1.3,0.1,-0.09663324
16495,-1.05,0.9,1.4,0.1,2.047757
16496,-1.0,0.9,1.4,0.1,1.99206318
16497,-0.966667,0.9,1.4,0.1,1.95511352
16498,-0.933333,0.9,1.4,0.1,1.91831324
16499,-0.9,0.9,1.4,0.1,1.88166214
16500,-0.866667,0.9,1.4,0.1,1.84516132
16501,-0.833333,0.9,1.4,0.1,1.80881072
16502,-0.8,0.9,1.4,0.1,1.77261022
16503,-0.766667,0.9,1.4,0.1,1.73655728
