index_number,x1,x2,x3,x4,y
42032,0.43333,0.8,1.4,0.65,0.332656874
42033,0.5,0.8,1.4,0.65,0.288848632
42034,0.56667,0.8,1.4,0.65,0.24337599
42035,0.63333,0.8,1.4,0.65,0.197306246
42036,0.7,0.8,1.4,0.65,0.149454339
42037,0.76667,0.8,1.4,0.65,0.100404307
42038,0.83333,0.8,1.4,0.65,0.050814144
42039,0.9,0.8,1.4,0.65,0.002702068
42056,-0.033333,0.8,1.6,0.65,0.638764329
42057,0.033333,0.8,1.6,0.65,0.592248957
42058,0.1,0.8,1.6,0.65,0.547112278
42059,0.16667,0.8,1.6,0.65,0.50276338
42060,0.23333,0.8,1.6,0.65,0.459348651
42061,0.3,0.8,1.6,0.65,0.416845629
42062,0.36667,0.8,1.6,0.65,0.37364468
42063,0.43333,0.8,1.6,0.65,0.329852402
42064,0.5,0.8,1.6,0.65,0.28574167
42065,0.56667,0.8,1.6,0.65,0.240030354
42066,0.63333,0.8,1.6,0.65,0.193783139
42067,0.7,0.8,1.6,0.65,0.145801027
42068,0.76667,0.8,1.6,0.65,0.096662509
42069,0.83333,0.8,1.6,0.65,0.047019163
42070,0.9,0.8,1.6,0.65,-0.001117321
42087,-0.033333,0.8,1.8,0.65,0.63770349
42088,0.033333,0.8,1.8,0.65,0.591163588
42089,0.1,0.8,1.8,0.65,0.54594999
42090,0.16667,0.8,1.8,0.65,0.501411895
42091,0.23333,0.8,1.8,0.65,0.457675814
42092,0.3,0.8,1.8,0.65,0.414778265
42093,0.36667,0.8,1.8,0.65,0.371165421
42094,0.43333,0.8,1.8,0.65,0.326997959
42095,0.5,0.8,1.8,0.65,0.282575288
42096,0.56667,0.8,1.8,0.65,0.236610387
42097,0.63333,0.8,1.8,0.65,0.190168398
42098,0.7,0.8,1.8,0.65,0.142037491
42099,0.76667,0.8,1.8,0.65,0.092791552
42100,0.83333,0.8,1.8,0.65,0.043076543
42101,0.9,0.8,1.8,0.65,-0.005101235
42118,-0.033333,0.8,2.0,0.65,0.636771765
42119,0.033333,0.8,2.0,0.65,0.590160286
42120,0.1,0.8,2.0,0.65,0.544820253
42121,0.16667,0.8,2.0,0.65,0.500053286
42122,0.23333,0.8,2.0,0.65,0.455979877
42123,0.3,0.8,2.0,0.65,0.412688853
42124,0.36667,0.8,2.0,0.65,0.368669314
42125,0.43333,0.8,2.0,0.65,0.324127124
42126,0.5,0.8,2.0,0.65,0.279386051
42127,0.56667,0.8,2.0,0.65,0.233155762
42128,0.63333,0.8,2.0,0.65,0.186504374
42129,0.7,0.8,2.0,0.65,0.138208255
42130,0.76667,0.8,2.0,0.65,0.08883775
42131,0.83333,0.8,2.0,0.65,0.039033959
42132,0.9,0.8,2.0,0.65,-0.009201131
42366,-0.033333,0.8,1.4,0.7,0.61398999
42367,0.033333,0.8,1.4,0.7,0.569872281
42368,0.1,0.8,1.4,0.7,0.527179854
42369,0.16667,0.8,1.4,0.7,0.485413272
42370,0.23333,0.8,1.4,0.7,0.444680274
42371,0.3,0.8,1.4,0.7,0.404838905
42372,0.36667,0.8,1.4,0.7,0.36427984
42373,0.43333,0.8,1.4,0.7,0.323062873
42374,0.5,0.8,1.4,0.7,0.281457679
